Dublin Core:Title,Dublin Core:Identifier,File,Dublin Core:Creator,Dublin Core:Date,Dublin Core:County,Dublin Core:Subject,Dublin Core: State,Dublin Core:Rights,Dublin Core:Format,Item Type Metadata:Physical Dimensions,Dublin Core:Language,Item Type,Dublin Core:Coverage,geolocation:latitude,geolocation:longitude,geolocation:zoom_level,geolocation:map_type,geolocation:address,Tags
"Ansted, W.Va. 
 by Danny Linkenhoker",115,http://mappalachia.org/pictures/gallery/full_size/map_115.jpg,Danny Linkenhoker,1966,Ansted,Fayette,W.Va.,Rights Reserved by: Danny Linkenhoker,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,38.1362201,-81.0995479,10,,,"Religious,Economic"
"Crossnore, N.C. 
 by Donna Janelle Stanley",116,http://mappalachia.org/pictures/gallery/full_size/map_116.jpg,Donna Janelle Stanley,1966,Avery,Crossnore,N.C.,Rights Reserved by: Donna Janelle Stanley,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.0217938,-81.9295579,10,,,Religious
"Kingsport, Tenn. 
 by Fran Alley",117,http://mappalachia.org/pictures/gallery/full_size/map_117.jpg,Fran Alley,1966,Sullivan,Kingsport,Tenn.,Rights Reserved by: Fran Alley,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.5537484,-82.5147642,10,,,"Religious,Economic"
"Hurricane Creek, Ky. 
 by Jo Ann Pace",118,http://mappalachia.org/pictures/gallery/full_size/map_118.jpg,Jo Ann Pace,1966,Leslie,Hurricane Creek,Ky.,Rights Reserved by: Jo Ann Pace,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.0698286,-83.3789389,10,,,
"Drawing 
 by John Combs",119,http://mappalachia.org/pictures/gallery/full_size/map_119.jpg,John Combs,1966,Madison,Berea,Ky.,Rights Reserved by: John Combs,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.568694,-84.2963223,10,,,
"Hazard, Ky. 
 by John Johnson",120,http://mappalachia.org/pictures/gallery/full_size/map_120.jpg,John Johnson,,Perry,Hazard,Ky.,Rights Reserved by: John Johnson,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.24954,-83.1932284,10,,,Economic
"Drawing 
 by Linda Alder",121,http://mappalachia.org/pictures/gallery/full_size/map_121.jpg,Linda Alder,1966,Washington,Springfield,Ky.,Rights Reserved by: Linda Alder,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.6853413,-85.2221819,10,,,
"Westmoreland, W.Va. 
 by Linda Ann Crawford",122,http://mappalachia.org/pictures/gallery/full_size/map_122.jpg,Linda Ann Crawford,1966,Wayne,Westmoreland,W.Va.,Rights Reserved by: Linda Ann Crawford,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,38.4006379,-82.5121008,10,,,"Religious,Economic"
"Ripley, N.Y. 
 by Mary Knight",123,http://mappalachia.org/pictures/gallery/full_size/map_123.jpg,Mary Knight,1966,Chautauqua,Ripley,N.Y.,Rights Reserved by: Mary Knight,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,42.22606,-79.7175517,10,,,"Religious,Economic"
"Westminster, S.C. 
 by Monte Smith",124,http://mappalachia.org/pictures/gallery/full_size/map_124.jpg,Monte Smith,1966,Oconee,Westminster,S.C.,Rights Reserved by: Monte Smith,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,34.6648197,-83.0965425,10,,,"Religious,Economic"
"Berea, Ky. 
 by Neal L. Craig",125,http://mappalachia.org/pictures/gallery/full_size/map_125.jpg,Neal L. Craig,1966,Madison,Berea,Ky.,Rights Reserved by: Neal L. Craig,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.568694,-84.2963223,10,,,Economic
"Drawing 
 by Oruie",126,http://mappalachia.org/pictures/gallery/full_size/map_126.jpg,Oruie,1966,Madison,Richmond,Ky.,Rights Reserved by: Oruie,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.7478572,-84.2946539,10,,,
"Oak Ridge, Tenn. 
 by Peggy E. Sisson",127,http://mappalachia.org/pictures/gallery/full_size/map_127.jpg,Peggy E. Sisson,1966,Anderson; Roane,Oak Ridge,Tenn.,Rights Reserved by: Peggy E. Sisson,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.0103561,-84.2696449,10,,,Economic
"Drawing 
 by Ray Herndon",128,http://mappalachia.org/pictures/gallery/full_size/map_128.jpg,Ray Herndon,1966,Russel,Dante,Va.,Rights Reserved by: Ray Herndon,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.9784384,-82.2976424,10,,,"Religious,Political,Economic"
"Negro Creek, Ky. 
 by Roger Benge",129,http://mappalachia.org/pictures/gallery/full_size/map_129.jpg,Roger Benge,1966,Rockcastle,Negro Creek,Ky.,Rights Reserved by: Roger Benge,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.3881788,-84.4560407,10,,,Religious
"Narrows, Va. 
 by Ron Richardson",130,http://mappalachia.org/pictures/gallery/full_size/map_130.jpg,Ron Richardson,1966,Giles,Narrows,Va.,Rights Reserved by: Ron Richardson,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.3315103,-80.8111866,10,,,"Religious,Economic"
"Drawing 
 by Terry Taylor",131,http://mappalachia.org/pictures/gallery/full_size/map_131.jpg,Terry Taylor,1966,Raleigh,Shady Spring,W.Va.,Rights Reserved by: Terry Taylor,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.7056722,-81.0984293,10,,,"Religious,Economic"
"Drawing 
 by William Ralph Adams",132,http://mappalachia.org/pictures/gallery/full_size/map_132.jpg,William Ralph Adams,1966,Letcher,Whitesburg,Ky.,Rights Reserved by: William Ralph Adams,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.1184318,-82.8268265,10,,,Economic
"Drawing 
 by Betsy Hodges",133,http://mappalachia.org/pictures/gallery/full_size/map_133.jpg,Betsy Hodges,1967,Henry,Martinsville,Va.,Rights Reserved by: Betsy Hodges,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.6588867,-79.9640339,10,,,Economic
"Day, Ky. 
 by Randall Day",134,http://mappalachia.org/pictures/gallery/full_size/map_134.jpg,Randall Day,,Letcher,Day,Ky.,Rights Reserved by: Randall Day,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.0714858,-82.8465494,10,,,"Religious,Economic"
"Drawing 
 by Ray Gabbard",135,http://mappalachia.org/pictures/gallery/full_size/map_135.jpg,Ray Gabbard,1961,Madison,Berea; Big Hill,Ky.,Rights Reserved by: Ray Gabbard,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.568694,-84.2963223,10,,,
"Drawing 
 by Robert Cooper",136,http://mappalachia.org/pictures/gallery/full_size/map_136.jpg,Robert Cooper,,Lee,Pennington Gap,Va.,Rights Reserved by: Robert Cooper,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.7584219,-83.0271115,10,,,
"Berea, Ky. 
 by Roemelle Stivers",137,http://mappalachia.org/pictures/gallery/full_size/map_137.jpg,Roemelle Stivers,1950,Madison,Berea,Ky.,Rights Reserved by: Roemelle Stivers,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.568694,-84.2963223,10,,,"Religious,Economic"
Drawing Ronald Kenndy,138,http://mappalachia.org/pictures/gallery/full_size/map_138.jpg,Ronald Kenndy,,Dickenson,Clintwood,Va.,Rights Reserved by: Ronald Kenndy,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.1501067,-82.4559845,10,,,
"North Matewan, W.Va. 
 by Ron Estepp",139,http://mappalachia.org/pictures/gallery/full_size/map_139.jpg,Ron Estepp,,Mingo,North Matewan,W.Va.,Rights Reserved by: Ron Estepp,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.6264937,-82.1481884,10,,,
"Jenkins, Ky. 
 by Rozella Sturgill",140,http://mappalachia.org/pictures/gallery/full_size/map_140.jpg,Rozella Sturgill,1956,Letcher,Jenkins,Ky.,Rights Reserved by: Rozella Sturgill,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.1734372,-82.6309892,10,,,
"Asheville, N.C. 
 by Russel Moneyham",141,http://mappalachia.org/pictures/gallery/full_size/map_141.jpg,Russel Moneyham,,Buncombe,Asheville,N.C.,Rights Reserved by: Russel Moneyham,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,35.5950581,-82.5514869,10,,,Economic
"Louisa, Ky. 
 by Patty Frasher",142,http://mappalachia.org/pictures/gallery/full_size/map_142.jpg,Patty Frasher,1949,Lawrence,Louisa,Ky.,Rights Reserved by: Patty Frasher,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,38.1142544,-82.6032119,10,,,"Religious,Political,Economic"
"Keyser, Ky. 
 by William Bishoff",143,http://mappalachia.org/pictures/gallery/full_size/map_143.jpg,William Bishoff,1949,Mineral,Keyser,Ky.,Rights Reserved by: William Bishoff,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,39.4409277,-78.9739156,10,,,
"Looneyville, W.Va. 
 by Anabelle Boggs",144,http://mappalachia.org/pictures/gallery/full_size/map_144.jpg,Anabelle Boggs,1950,Roane,Looneyville,W.Va.,Rights Reserved by: Anabelle Boggs,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,38.664537,-81.3031742,10,,,"Religious,Economic"
"Adams, Ky. 
 by Betty Joanne Ball",145,http://mappalachia.org/pictures/gallery/full_size/map_145.jpg,Betty Joanne Ball,1950,Lawrence,Adams,Ky.,Rights Reserved by: Betty Joanne Ball,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,34.0675555,-118.4066445,10,,,
"Prestonsburg, Va. 
 by Gene Boyd",146,http://mappalachia.org/pictures/gallery/full_size/map_146.jpg,Gene Boyd,1950,Floyed,Prestonsburg,Va.,Rights Reserved by: Gene Boyd,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.7281336,-82.7620969,10,,,"Religious,Political,Economic"
"Crossnore, N.C. 
 by Herman Dellinger",147,http://mappalachia.org/pictures/gallery/full_size/map_147.jpg,Herman Dellinger,1950,Avery,Crossnore,N.C.,Rights Reserved by: Herman Dellinger,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.0217938,-81.9295579,10,,,Economic
"Candler, N.C. 
 by James Leatherwood",148,http://mappalachia.org/pictures/gallery/full_size/map_148.jpg,James Leatherwood,1950,Buncombe,Candler,N.C.,Rights Reserved by: James Leatherwood,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,35.5360973,-82.6927363,10,,,Economic
"Speedwell, Tenn. 
 by Lula Mae Bruce",149,http://mappalachia.org/pictures/gallery/full_size/map_149.jpg,Lula Mae Bruce,1950,Claiborne,Speedwell,Tenn.,Rights Reserved by: Lula Mae Bruce,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.4586902,-83.8718624,10,,,
"Candler, N.C. 
 by Mary Jane Leatherwood",150,http://mappalachia.org/pictures/gallery/full_size/map_150.jpg,Mary Jane Leatherwood,1950,Buncombe,Candler,N.C.,Rights Reserved by: Mary Jane Leatherwood,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,35.5360973,-82.6927363,10,,,Political
"Hiltons, Va. 
 by William L. Cartes",151,http://mappalachia.org/pictures/gallery/full_size/map_151.jpg,William L. Cartes,1950,Scott,Hiltons,Va.,Rights Reserved by: William L. Cartes,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.6545454,-82.4670941,10,,,
"Bayard, W.Va. 
 by George Fulk",152,http://mappalachia.org/pictures/gallery/full_size/map_152.jpg,George Fulk,1951,Grant,Bayard,W.Va.,Rights Reserved by: George Fulk,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,39.2728826,-79.3644902,10,,,"Religious,Political,Economic"
"Cartersville, Ga. 
 by Gwen Lanier",153,http://mappalachia.org/pictures/gallery/full_size/map_153.jpg,Gwen Lanier,1951,Bartow,Cartersville,Ga.,Rights Reserved by: Gwen Lanier,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,34.1650972,-84.7999382,10,,,"Religious,Political,Economic"
"Drawing 
 by Janet Albright",154,http://mappalachia.org/pictures/gallery/full_size/map_154.jpg,Janet Albright,1951,Rockcastle,Brodhead,Ky.,Rights Reserved by: Janet Albright,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.4042496,-84.4138259,10,,,Economic
