Dublin Core:Title,Dublin Core:Identifier,File,Dublin Core:Creator,Dublin Core:Date,Dublin Core:County,Dublin Core:Subject,Dublin Core:Source,Dublin Core:Rights,Dublin Core:Format,Item Type Metadata:Physical Dimensions,Dublin Core:Language,Item Type,Dublin Core:Coverage,geolocation:latitude,geolocation:longitude,geolocation:zoom_level,geolocation:map_type,geolocation:address
"Rockwood, PA by Emily Sautter",5,http://mappalachia.org/pictures/gallery/full_size/map_5.jpg,Emily Sautter,1991,Somerset,"Rockwood, PA",Berea College Special Collections and Archives,Rights Reserved by: Emily Sautter,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,39.9182845,-79.1570513,10,,
"Asheville, NC by Janet Longley",112,http://mappalachia.org/pictures/gallery/full_size/map_112.jpg,Janet Longley,1989,Buncombe,"Asheville, NC",Berea College Special Collections and Archives,Rights Reserved by: Janet Longley,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,35.5950581,-82.5514869,10,,
"Fayette, WV by Danny Linkenhoker",115,http://mappalachia.org/pictures/gallery/full_size/map_115.jpg,Danny Linkenhoker,1966,Ansted,"Fayette, WV",Berea College Special Collections and Archives,Rights Reserved by: Danny Linkenhoker,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,38.1362201,-81.0995479,10,,
"Crossnore, NC by Donna Janelle Stanley",116,http://mappalachia.org/pictures/gallery/full_size/map_116.jpg,Donna Janelle Stanley,1966,Avery,"Crossnore, NC",Berea College Special Collections and Archives,Rights Reserved by: Donna Janelle Stanley,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.0217938,-81.9295579,10,,
"Kingsport, TN by Fran Alley",117,http://mappalachia.org/pictures/gallery/full_size/map_117.jpg,Fran Alley,1966,Sullivan,"Kingsport, TN",Berea College Special Collections and Archives,Rights Reserved by: Fran Alley,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.5537484,-82.5147642,10,,
"Hurricane Creek, KY by Jo Ann Pace",118,http://mappalachia.org/pictures/gallery/full_size/map_118.jpg,Jo Ann Pace,1966,Leslie,"Hurricane Creek, KY",Berea College Special Collections and Archives,Rights Reserved by: Jo Ann Pace,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.0698286,-83.3789389,10,,
"Berea, KY by John Combs",119,http://mappalachia.org/pictures/gallery/full_size/map_119.jpg,John Combs,1966,Madison,"Berea, KY",Berea College Special Collections and Archives,Rights Reserved by: John Combs,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.568694,-84.2963223,10,,
"Hazard, KY by John Johnson",120,http://mappalachia.org/pictures/gallery/full_size/map_120.jpg,John Johnson,,Perry,"Hazard, KY",Berea College Special Collections and Archives,Rights Reserved by: John Johnson,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.24954,-83.1932284,10,,
"Springfield, KY by Linda Alder",121,http://mappalachia.org/pictures/gallery/full_size/map_121.jpg,Linda Alder,1966,Washington,"Springfield, KY",Berea College Special Collections and Archives,Rights Reserved by: Linda Alder,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.6853413,-85.2221819,10,,
"Westmoreland, WV by Linda Ann Crawford",122,http://mappalachia.org/pictures/gallery/full_size/map_122.jpg,Linda Ann Crawford,1966,Wayne,"Westmoreland, WV",Berea College Special Collections and Archives,Rights Reserved by: Linda Ann Crawford,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,38.4006379,-82.5121008,10,,
"Ripley, NY by Mary Knight",123,http://mappalachia.org/pictures/gallery/full_size/map_123.jpg,Mary Knight,1966,Chautauqua,"Ripley, NY",Berea College Special Collections and Archives,Rights Reserved by: Mary Knight,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,42.22606,-79.7175517,10,,
"Westminster, SC by Monte Smith",124,http://mappalachia.org/pictures/gallery/full_size/map_124.jpg,Monte Smith,1966,Oconee,"Westminster, SC",Berea College Special Collections and Archives,Rights Reserved by: Monte Smith,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,34.6648197,-83.0965425,10,,
"Berea, KY by Neal L. Craig",125,http://mappalachia.org/pictures/gallery/full_size/map_125.jpg,Neal L. Craig,1966,Madison,"Berea, KY",Berea College Special Collections and Archives,Rights Reserved by: Neal L. Craig,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.568694,-84.2963223,10,,
"Richmond, KY by Oruie",126,http://mappalachia.org/pictures/gallery/full_size/map_126.jpg,Oruie,1966,Madison,"Richmond, KY",Berea College Special Collections and Archives,Rights Reserved by: Oruie,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.7478572,-84.2946539,10,,
"Oak Ridge, TN by Peggy E. Sisson",127,http://mappalachia.org/pictures/gallery/full_size/map_127.jpg,Peggy E. Sisson,1966,Anderson; Roane,"Oak Ridge, TN",Berea College Special Collections and Archives,Rights Reserved by: Peggy E. Sisson,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.0103561,-84.2696449,10,,
