Title,Identifier,Creator,Date,Subject,Source,Rights,Format,Language,Type,Coverage,,Image
map_5,5,Emily Sautter,0,"Rockwood, PA",Berea College Special Collections and Archives,Rights Reserved by: Emily Sautter,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_112,112,,0,"Asheville, NC",Berea College Special Collections and Archives,Rights Reserved by: ,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_115,115,Danny Linkenhoker,1966,"Fayette, WV",Berea College Special Collections and Archives,Rights Reserved by: Danny Linkenhoker,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_116,116,Donna Janelle Stanley,1966,"Crossnore, NC",Berea College Special Collections and Archives,Rights Reserved by: Donna Janelle Stanley,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_117,117,Fran Alley,1966,"Kingsport, TN",Berea College Special Collections and Archives,Rights Reserved by: Fran Alley,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_118,118,Jo Ann Pace,1966,"Hurricane Creek, KY",Berea College Special Collections and Archives,Rights Reserved by: Jo Ann Pace,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_119,119,John Combs,1966,"Berea, KY",Berea College Special Collections and Archives,Rights Reserved by: John Combs,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_120,120,John Johnson,0,"Hazard, KY",Berea College Special Collections and Archives,Rights Reserved by: John Johnson,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_121,121,Linda Alder,1966,"Springfield, KY",Berea College Special Collections and Archives,Rights Reserved by: Linda Alder,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_122,122,Linda Ann Crawford,1966,"Westmoreland, WV",Berea College Special Collections and Archives,Rights Reserved by: Linda Ann Crawford,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_123,123,Mary Knight,1966,"Ripley, NY",Berea College Special Collections and Archives,Rights Reserved by: Mary Knight,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_124,124,Monte Smith,1966,"Westminster, SC",Berea College Special Collections and Archives,Rights Reserved by: Monte Smith,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_125,125,Neal L. Craig,1966,"Berea, KY",Berea College Special Collections and Archives,Rights Reserved by: Neal L. Craig,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_126,126,Oruie,1966,"Richmond, KY",Berea College Special Collections and Archives,Rights Reserved by: Oruie,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_127,127,Peggy E. Sisson,1966,"Oak Ridge, TN",Berea College Special Collections and Archives,Rights Reserved by: Peggy E. Sisson,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_128,128,Ray Herndon,1966,"Dante, VA",Berea College Special Collections and Archives,Rights Reserved by: Ray Herndon,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_129,129,Roger Benge,1966,"Negro Creek, KY",Berea College Special Collections and Archives,Rights Reserved by: Roger Benge,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_130,130,Ron Richardson,1966,"Narrows, VA",Berea College Special Collections and Archives,Rights Reserved by: Ron Richardson,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_131,131,Terry Taylor,1966,"Shady Spring, WV",Berea College Special Collections and Archives,Rights Reserved by: Terry Taylor,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_132,132,William Ralph Adams,1966,"Whitesburg, KY",Berea College Special Collections and Archives,Rights Reserved by: William Ralph Adams,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_133,133,Betsy Hodges,1967,"Martinsville, VA",Berea College Special Collections and Archives,Rights Reserved by: Betsy Hodges,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_134,134,Randall Day,0,"Day, KY",Berea College Special Collections and Archives,Rights Reserved by: Randall Day,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_135,135,Ray Gabbard,0,"Berea; Big Hill, KY",Berea College Special Collections and Archives,Rights Reserved by: Ray Gabbard,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_136,136,Robert Cooper,0,"Pennington Gap, VA",Berea College Special Collections and Archives,Rights Reserved by: Robert Cooper,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_137,137,Roemelle Stivers,0,"Berea, KY",Berea College Special Collections and Archives,Rights Reserved by: Roemelle Stivers,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_138,138,Ronald Kenndy,0,"Clintwood, VA",Berea College Special Collections and Archives,Rights Reserved by: Ronald Kenndy,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_139,139,Ron Estepp,0,"North Matewan, WV",Berea College Special Collections and Archives,Rights Reserved by: Ron Estepp,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_140,140,Rozella Sturgill,0,"Jenkins, KY",Berea College Special Collections and Archives,Rights Reserved by: Rozella Sturgill,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_141,141,Russel Moneyham,0,"Asheville, NC",Berea College Special Collections and Archives,Rights Reserved by: Russel Moneyham,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_142,142,Patty Frasher,1949,"Louisa, KY",Berea College Special Collections and Archives,Rights Reserved by: Patty Frasher,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_143,143,William Bishoff,1949,"Keyser, KY",Berea College Special Collections and Archives,Rights Reserved by: William Bishoff,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_144,144,Anabelle Boggs,1950,"Looneyville, WV",Berea College Special Collections and Archives,Rights Reserved by: Anabelle Boggs,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_145,145,Betty Joanne Ball,1950,"Adams, KY",Berea College Special Collections and Archives,Rights Reserved by: Betty Joanne Ball,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_146,146,Gene Boyd,1950,"Prestonsburg, VA",Berea College Special Collections and Archives,Rights Reserved by: Gene Boyd,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_147,147,Herman Dellinger,1950,"Crossnore, NC",Berea College Special Collections and Archives,Rights Reserved by: Herman Dellinger,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
